state,county,2000D,2000R,2000O,2004D,2004R,2004O,2008D,2008R,2008O,2012D,2012R,2012O,2016D,2016R,2016O
AL,Autauga,4942.0,11993.0,273.0,4758.0,15196.0,127.0,6093.0,17403.0,145.0,6363.0,17379.0,190.0,5936.0,18172.0,865.0
AL,Baldwin,13997.0,40872.0,1611.0,15599.0,52971.0,750.0,19386.0,61271.0,756.0,18424.0,66016.0,898.0,18458.0,72883.0,3874.0
AL,Barbour,5188.0,5096.0,111.0,4832.0,5899.0,46.0,5697.0,5866.0,67.0,5912.0,5550.0,47.0,4871.0,5454.0,144.0
AL,Bibb,2710.0,4273.0,118.0,2089.0,5472.0,39.0,2299.0,6262.0,83.0,2202.0,6132.0,86.0,1874.0,6738.0,207.0
AL,Blount,4977.0,12667.0,329.0,3938.0,17386.0,180.0,3522.0,20389.0,356.0,2970.0,20757.0,279.0,2156.0,22859.0,573.0
AL,Bullock,3395.0,1433.0,76.0,3210.0,1494.0,13.0,4011.0,1391.0,13.0,4061.0,1251.0,10.0,3530.0,1140.0,40.0
AL,Butler,3606.0,4127.0,70.0,3413.0,4979.0,24.0,4188.0,5485.0,36.0,4374.0,5087.0,35.0,3726.0,4901.0,105.0
AL,Calhoun,15781.0,22306.0,822.0,15083.0,29814.0,352.0,16334.0,32348.0,560.0,15511.0,30278.0,468.0,13242.0,32865.0,1757.0
AL,Chambers,5616.0,6037.0,181.0,5347.0,7622.0,63.0,6799.0,8067.0,90.0,6871.0,7626.0,114.0,5784.0,7843.0,273.0
AL,Cherokee,3497.0,4154.0,172.0,3040.0,5923.0,86.0,2306.0,7298.0,141.0,2132.0,7506.0,141.0,1547.0,8953.0,233.0
AL,Chilton,4806.0,10066.0,220.0,3778.0,12829.0,86.0,3674.0,13960.0,151.0,3397.0,13932.0,133.0,2911.0,15081.0,377.0
AL,Choctaw,3707.0,3600.0,67.0,3303.0,3897.0,27.0,3636.0,4223.0,35.0,3786.0,4152.0,30.0,3109.0,4106.0,77.0
AL,Clarke,4679.0,5988.0,85.0,4627.0,6730.0,37.0,5914.0,7466.0,55.0,6334.0,7470.0,47.0,5749.0,7140.0,142.0
AL,Clay,2045.0,3719.0,119.0,1893.0,4624.0,59.0,1760.0,4984.0,75.0,1777.0,4817.0,68.0,1237.0,5245.0,142.0
AL,Cleburne,1664.0,3333.0,95.0,1391.0,4370.0,37.0,1168.0,5216.0,108.0,971.0,5272.0,62.0,684.0,5764.0,145.0
AL,Coffee,5220.0,9938.0,276.0,4480.0,13019.0,117.0,5079.0,14919.0,130.0,4925.0,14666.0,179.0,4221.0,15875.0,671.0
AL,Colbert,10543.0,10518.0,471.0,10598.0,13188.0,149.0,9703.0,14739.0,401.0,9166.0,13936.0,283.0,7312.0,16746.0,857.0
AL,Conecuh,2783.0,2699.0,69.0,2719.0,3271.0,31.0,3429.0,3470.0,44.0,3555.0,3439.0,28.0,3080.0,3420.0,85.0
AL,Coosa,2104.0,2382.0,81.0,2055.0,2905.0,41.0,2273.0,3248.0,42.0,2191.0,3049.0,29.0,1782.0,3381.0,89.0
AL,Covington,4440.0,8961.0,212.0,3423.0,11119.0,85.0,3240.0,12444.0,103.0,3158.0,12153.0,112.0,2387.0,13267.0,286.0
AL,Crenshaw,1934.0,2793.0,68.0,1698.0,3777.0,25.0,1938.0,4319.0,34.0,2050.0,4331.0,37.0,1664.0,4513.0,90.0
AL,Cullman,9758.0,19157.0,610.0,8045.0,26818.0,328.0,5864.0,28896.0,545.0,5052.0,28999.0,406.0,3798.0,32989.0,1086.0
AL,Dale,4906.0,10593.0,307.0,4484.0,13621.0,126.0,5270.0,13886.0,164.0,5286.0,13108.0,163.0,4413.0,13808.0,528.0
AL,Dallas,10967.0,7360.0,137.0,11175.0,7335.0,63.0,13986.0,6798.0,68.0,14612.0,6288.0,53.0,12836.0,5789.0,167.0
AL,DeKalb,7056.0,12827.0,402.0,7092.0,16904.0,139.0,5658.0,17957.0,400.0,5239.0,18331.0,293.0,3622.0,21405.0,799.0
AL,Elmore,6652.0,16777.0,375.0,6471.0,22056.0,153.0,8301.0,25777.0,237.0,8954.0,26253.0,278.0,8443.0,27634.0,1183.0
AL,Escambia,4523.0,6975.0,162.0,3814.0,8513.0,68.0,5188.0,9375.0,111.0,5489.0,9287.0,93.0,4605.0,9935.0,305.0
AL,Etowah,17433.0,21087.0,828.0,15328.0,26999.0,353.0,13497.0,30595.0,645.0,12803.0,29130.0,597.0,10442.0,32353.0,1369.0
AL,Fayette,3064.0,4582.0,162.0,2408.0,5534.0,60.0,1994.0,5883.0,80.0,1817.0,6054.0,75.0,1362.0,6712.0,175.0
AL,Franklin,4793.0,6119.0,191.0,4514.0,7690.0,65.0,3469.0,8048.0,176.0,3171.0,7567.0,121.0,2197.0,9466.0,377.0
AL,Geneva,2769.0,6588.0,202.0,2113.0,8342.0,65.0,2134.0,9417.0,106.0,2039.0,9175.0,106.0,1525.0,9994.0,239.0
AL,Greene,3504.0,850.0,42.0,3764.0,958.0,26.0,4408.0,876.0,21.0,4521.0,804.0,15.0,4013.0,838.0,29.0
AL,Hale,4652.0,2984.0,95.0,4631.0,3281.0,33.0,4982.0,3200.0,32.0,5411.0,3210.0,22.0,4775.0,3173.0,92.0
AL,Henry,2782.0,4054.0,96.0,2452.0,4881.0,28.0,3018.0,5585.0,45.0,3083.0,5628.0,49.0,2292.0,5632.0,148.0
AL,Houston,9412.0,22150.0,495.0,9144.0,26874.0,183.0,12225.0,29254.0,256.0,12367.0,29270.0,281.0,10664.0,30728.0,1247.0
AL,Jackson,9066.0,8475.0,365.0,8635.0,11534.0,152.0,6374.0,14083.0,417.0,5822.0,14439.0,316.0,3673.0,16672.0,639.0
AL,Jefferson,129889.0,138491.0,5383.0,132286.0,158680.0,2001.0,166121.0,149921.0,2482.0,159876.0,141683.0,2359.0,156873.0,134768.0,12550.0
AL,Lamar,2653.0,4470.0,126.0,1956.0,4894.0,35.0,1614.0,5419.0,42.0,1646.0,5457.0,63.0,1036.0,5823.0,107.0
AL,Lauderdale,13875.0,17478.0,784.0,14628.0,22161.0,318.0,13329.0,24068.0,707.0,12511.0,23911.0,502.0,9952.0,27899.0,1674.0
AL,Lawrence,6296.0,5671.0,218.0,6155.0,7730.0,116.0,5164.0,9277.0,239.0,5069.0,8874.0,169.0,3627.0,10833.0,369.0
AL,Lee,14574.0,22433.0,1257.0,16227.0,27972.0,411.0,21498.0,32230.0,597.0,21381.0,32194.0,784.0,21230.0,34617.0,3344.0
AL,Limestone,8992.0,14204.0,438.0,9126.0,19702.0,245.0,9536.0,23598.0,417.0,9829.0,25295.0,335.0,9468.0,29067.0,1759.0
AL,Lowndes,4557.0,1638.0,48.0,4233.0,1786.0,2.0,5449.0,1809.0,20.0,5747.0,1756.0,18.0,4883.0,1751.0,50.0
AL,Macon,7665.0,1091.0,75.0,7800.0,1570.0,37.0,9450.0,1396.0,31.0,9045.0,1331.0,18.0,7566.0,1431.0,143.0
AL,Madison,48199.0,62151.0,2968.0,52644.0,77173.0,1245.0,64117.0,86965.0,1817.0,62015.0,90884.0,2160.0,62822.0,89520.0,11047.0
AL,Marengo,4841.0,4690.0,77.0,5037.0,5255.0,30.0,5926.0,5516.0,29.0,6167.0,5336.0,34.0,5615.0,5233.0,146.0
AL,Marion,4600.0,6910.0,246.0,3808.0,8983.0,84.0,2600.0,9536.0,219.0,2249.0,9697.0,159.0,1432.0,11274.0,278.0
AL,Marshall,10381.0,17084.0,524.0,8452.0,22783.0,256.0,7038.0,25727.0,401.0,6299.0,25867.0,400.0,4917.0,29233.0,1166.0
AL,Mobile,58640.0,78162.0,2943.0,63732.0,92014.0,1025.0,82181.0,98049.0,1194.0,78760.0,94893.0,1211.0,72186.0,95116.0,5435.0
AL,Monroe,3741.0,5153.0,57.0,3666.0,5831.0,37.0,5025.0,6175.0,52.0,4914.0,5741.0,53.0,4332.0,5795.0,144.0
AL,Montgomery,40371.0,38827.0,1130.0,45160.0,44097.0,393.0,62166.0,42031.0,546.0,63085.0,38332.0,507.0,58916.0,34003.0,2959.0
AL,Morgan,16060.0,25774.0,847.0,14131.0,32477.0,399.0,13895.0,36014.0,633.0,13439.0,35391.0,493.0,11254.0,37486.0,1904.0
AL,Perry,4020.0,1732.0,35.0,3767.0,1738.0,18.0,4457.0,1679.0,23.0,4568.0,1506.0,25.0,3824.0,1407.0,47.0
AL,Pickens,4143.0,4306.0,91.0,3915.0,5170.0,47.0,4594.0,5434.0,39.0,4455.0,5124.0,32.0,3972.0,5456.0,114.0
AL,Pike,4357.0,6058.0,129.0,4334.0,7483.0,66.0,5879.0,8004.0,72.0,6035.0,7963.0,109.0,5056.0,7693.0,419.0
AL,Randolph,3094.0,4666.0,159.0,2817.0,6127.0,57.0,3064.0,7175.0,145.0,3078.0,7224.0,96.0,2291.0,7705.0,191.0
AL,Russell,8396.0,6198.0,181.0,8375.0,8337.0,97.0,10085.0,8705.0,125.0,10500.0,8278.0,101.0,9579.0,9210.0,467.0
AL,St. Clair,6485.0,17117.0,488.0,5456.0,23500.0,205.0,6091.0,27649.0,348.0,5801.0,29031.0,316.0,5589.0,31651.0,1160.0
AL,Shelby,13183.0,47651.0,1294.0,14850.0,63435.0,621.0,20625.0,69060.0,958.0,20051.0,71436.0,1020.0,22977.0,73020.0,5257.0
AL,Sumter,4415.0,1629.0,44.0,4527.0,1880.0,26.0,5264.0,1731.0,25.0,5421.0,1586.0,20.0,4746.0,1581.0,84.0
AL,Talladega,11264.0,13807.0,380.0,11374.0,18331.0,193.0,13779.0,20112.0,313.0,13905.0,19246.0,222.0,12121.0,20614.0,672.0
AL,Tallapoosa,6183.0,9805.0,265.0,5451.0,12392.0,109.0,6063.0,13116.0,132.0,6319.0,12396.0,114.0,5519.0,13594.0,373.0
AL,Tuscaloosa,24614.0,34003.0,1497.0,26447.0,42877.0,506.0,32796.0,45405.0,711.0,32048.0,45748.0,794.0,31762.0,47723.0,3215.0
AL,Walker,11621.0,13486.0,534.0,9016.0,19167.0,184.0,7420.0,20722.0,510.0,6557.0,21651.0,313.0,4497.0,24266.0,709.0
AL,Washington,3386.0,4117.0,93.0,3145.0,5060.0,42.0,3067.0,5654.0,54.0,2976.0,5761.0,41.0,2374.0,6042.0,117.0
AL,Wilcox,3444.0,1661.0,21.0,3838.0,1834.0,10.0,4612.0,1868.0,14.0,4868.0,1679.0,4.0,4339.0,1737.0,42.0
AL,Winston,2692.0,6413.0,213.0,2236.0,8130.0,57.0,1757.0,8103.0,171.0,1286.0,8312.0,116.0,872.0,9228.0,213.0
AZ,Apache,13025.0,5947.0,484.0,15658.0,8384.0,156.0,15390.0,8551.0,321.0,17147.0,8250.0,451.0,17083.0,8240.0,2338.0
AZ,Cochise,13360.0,18180.0,1701.0,17514.0,26556.0,413.0,18943.0,29026.0,851.0,18546.0,29497.0,960.0,17450.0,28092.0,4473.0
AZ,Coconino,20280.0,17562.0,3041.0,29243.0,22526.0,498.0,31433.0,22186.0,725.0,29257.0,21220.0,1254.0,32404.0,21108.0,6272.0
AZ,Gila,7700.0,9158.0,878.0,8314.0,12343.0,186.0,7884.0,14095.0,354.0,7697.0,13455.0,376.0,7003.0,14182.0,1127.0
AZ,Graham,3355.0,6007.0,302.0,3185.0,7467.0,68.0,3487.0,8376.0,144.0,3609.0,8076.0,170.0,3301.0,8025.0,808.0
AZ,Greenlee,1216.0,1619.0,125.0,1146.0,1899.0,22.0,1165.0,1712.0,36.0,1310.0,1592.0,72.0,1092.0,1892.0,286.0
AZ,La Paz,1769.0,2543.0,171.0,1849.0,3158.0,48.0,1929.0,3509.0,114.0,1880.0,3714.0,123.0,1575.0,4003.0,373.0
AZ,Maricopa,386683.0,479967.0,35049.0,504849.0,679455.0,8447.0,602166.0,746448.0,16348.0,602288.0,749885.0,24385.0,702907.0,747361.0,117566.0
AZ,Mohave,17470.0,24386.0,2285.0,20503.0,36794.0,510.0,22092.0,44333.0,1180.0,19533.0,49168.0,1309.0,17455.0,58282.0,4206.0
AZ,Navajo,11794.0,12386.0,967.0,14815.0,17277.0,251.0,15579.0,19761.0,460.0,16945.0,19884.0,506.0,16459.0,20577.0,3258.0
AZ,Pima,147688.0,124579.0,15373.0,193128.0,171109.0,2670.0,206254.0,182406.0,4768.0,201251.0,174779.0,6220.0,224661.0,167428.0,29551.0
AZ,Pinal,19650.0,20122.0,1518.0,27252.0,37006.0,364.0,44254.0,59421.0,1208.0,44306.0,62079.0,1930.0,47892.0,72819.0,8835.0
AZ,Santa Cruz,5233.0,3344.0,316.0,6909.0,4668.0,91.0,8683.0,4518.0,102.0,9486.0,4235.0,173.0,11690.0,3897.0,846.0
AZ,Yavapai,24063.0,40144.0,4021.0,33127.0,53468.0,794.0,36889.0,61192.0,1567.0,33918.0,64468.0,1897.0,35590.0,71330.0,7530.0
AZ,Yuma,12055.0,15708.0,889.0,16032.0,22184.0,249.0,18559.0,24577.0,479.0,18059.0,23352.0,542.0,24605.0,25165.0,3240.0
AR,Arkansas,2877.0,3353.0,142.0,3110.0,3789.0,47.0,2619.0,4185.0,174.0,2455.0,3897.0,142.0,1939.0,3826.0,447.0
AR,Ashley,4253.0,3876.0,142.0,3881.0,4567.0,64.0,2976.0,5406.0,260.0,2859.0,4867.0,195.0,2408.0,5338.0,337.0
AR,Baxter,6516.0,9538.0,654.0,7129.0,11128.0,273.0,6539.0,12852.0,590.0,5172.0,13688.0,479.0,4169.0,14682.0,915.0
AR,Benton,17277.0,34838.0,1531.0,20756.0,46571.0,794.0,23331.0,51124.0,1618.0,22636.0,54646.0,1975.0,28005.0,60871.0,7948.0
AR,Boone,4493.0,8569.0,573.0,4640.0,9793.0,344.0,4435.0,10575.0,464.0,3772.0,11159.0,460.0,2926.0,12235.0,950.0
AR,Bradley,2122.0,1793.0,64.0,2206.0,2011.0,32.0,1680.0,2262.0,99.0,1449.0,2134.0,69.0,1317.0,2164.0,172.0
AR,Calhoun,1017.0,1128.0,40.0,942.0,1341.0,20.0,691.0,1462.0,64.0,660.0,1458.0,56.0,639.0,1556.0,74.0
AR,Carroll,3595.0,5556.0,439.0,4161.0,6184.0,136.0,4172.0,6083.0,324.0,3696.0,6125.0,362.0,3342.0,6786.0,630.0
AR,Chicot,2820.0,1564.0,68.0,2993.0,1725.0,39.0,3043.0,2119.0,46.0,2649.0,1670.0,42.0,2350.0,1716.0,110.0
AR,Clark,4661.0,3776.0,189.0,4985.0,4127.0,77.0,4267.0,4608.0,219.0,3811.0,4343.0,255.0,3620.0,4404.0,502.0
AR,Clay,3527.0,2254.0,119.0,3264.0,2759.0,73.0,2244.0,3032.0,235.0,1738.0,3225.0,147.0,1199.0,3781.0,220.0
AR,Cleburne,4120.0,5730.0,357.0,4702.0,7001.0,132.0,2951.0,7962.0,425.0,2620.0,8693.0,334.0,2101.0,9458.0,526.0
AR,Cleveland,1414.0,1678.0,89.0,1450.0,2009.0,37.0,911.0,2451.0,143.0,845.0,2313.0,108.0,723.0,2462.0,169.0
AR,Columbia,4003.0,5018.0,286.0,4108.0,5729.0,72.0,3554.0,5861.0,143.0,3557.0,5790.0,108.0,3140.0,5456.0,291.0
AR,Conway,3496.0,3545.0,193.0,4259.0,4293.0,97.0,3149.0,4691.0,298.0,3005.0,4514.0,211.0,2656.0,4849.0,422.0
AR,Craighead,12376.0,12158.0,623.0,13665.0,15818.0,318.0,11294.0,18881.0,793.0,10527.0,20350.0,823.0,10538.0,22892.0,2143.0
AR,Crawford,6288.0,10804.0,533.0,6764.0,13391.0,246.0,5238.0,14688.0,606.0,4881.0,15145.0,565.0,4488.0,16686.0,1276.0
AR,Crittenden,7224.0,5857.0,153.0,8277.0,6930.0,93.0,10330.0,7650.0,275.0,9487.0,6998.0,231.0,8410.0,6964.0,578.0
AR,Cross,3096.0,3033.0,86.0,3135.0,3864.0,75.0,2580.0,4393.0,157.0,2279.0,4269.0,133.0,1999.0,4584.0,291.0
AR,Dallas,1710.0,1571.0,44.0,1667.0,1699.0,17.0,1471.0,1757.0,90.0,1337.0,1665.0,82.0,1165.0,1509.0,97.0
AR,Desha,2776.0,1603.0,116.0,2851.0,1729.0,67.0,2569.0,1999.0,110.0,2443.0,1896.0,81.0,2228.0,1919.0,110.0
AR,Drew,3060.0,2756.0,106.0,2952.0,3262.0,35.0,2598.0,3860.0,152.0,2630.0,3887.0,116.0,2365.0,3968.0,262.0
AR,Faulkner,11950.0,16055.0,1211.0,14538.0,21514.0,634.0,14955.0,25362.0,862.0,13621.0,26722.0,1117.0,14629.0,29346.0,3552.0
AR,Franklin,2674.0,3277.0,189.0,3008.0,4181.0,100.0,1869.0,4411.0,195.0,1726.0,4631.0,183.0,1376.0,5039.0,355.0
AR,Fulton,1976.0,2036.0,96.0,2370.0,2522.0,63.0,1819.0,2702.0,155.0,1452.0,2949.0,121.0,1067.0,3471.0,234.0
AR,Garland,15840.0,19098.0,997.0,18040.0,21734.0,380.0,15899.0,26825.0,995.0,13804.0,26014.0,910.0,12311.0,26087.0,2407.0
AR,Grant,2535.0,3285.0,193.0,2524.0,4205.0,41.0,1562.0,5023.0,208.0,1468.0,4829.0,182.0,1373.0,5725.0,347.0
AR,Greene,6319.0,5831.0,334.0,6561.0,7232.0,154.0,4541.0,8578.0,493.0,4000.0,9071.0,690.0,3071.0,10720.0,809.0
AR,Hempstead,3937.0,3257.0,95.0,3817.0,3580.0,55.0,2869.0,4273.0,207.0,2468.0,4284.0,169.0,2377.0,4401.0,271.0
AR,Hot Spring,5527.0,5042.0,412.0,5903.0,5962.0,203.0,4288.0,7209.0,458.0,3830.0,7097.0,333.0,3149.0,8172.0,623.0
AR,Howard,2063.0,2326.0,70.0,2166.0,2736.0,41.0,1746.0,2957.0,143.0,1471.0,2892.0,99.0,1351.0,3157.0,166.0
AR,Independence,5146.0,6145.0,303.0,5443.0,7430.0,138.0,3688.0,8255.0,356.0,3281.0,8728.0,388.0,2881.0,9936.0,797.0
AR,Izard,2587.0,2301.0,144.0,2586.0,2833.0,74.0,1792.0,3193.0,233.0,1524.0,3575.0,179.0,1113.0,4042.0,293.0
AR,Jackson,3651.0,2280.0,141.0,3515.0,2624.0,80.0,2207.0,3118.0,257.0,2095.0,3072.0,180.0,1583.0,3267.0,306.0
AR,Jefferson,17716.0,8765.0,720.0,19675.0,10218.0,600.0,18465.0,10655.0,569.0,17470.0,9520.0,393.0,15772.0,9250.0,872.0
AR,Johnson,3270.0,3657.0,234.0,3622.0,4311.0,111.0,3034.0,4922.0,224.0,2799.0,5064.0,235.0,2427.0,6091.0,594.0
AR,Lafayette,1806.0,1538.0,39.0,1567.0,1604.0,20.0,1133.0,1685.0,84.0,1173.0,1713.0,43.0,1032.0,1758.0,70.0
AR,Lawrence,3255.0,2626.0,159.0,3544.0,2951.0,120.0,2138.0,3357.0,335.0,1788.0,3536.0,216.0,1263.0,4064.0,358.0
AR,Lee,2727.0,1351.0,43.0,2548.0,1492.0,40.0,2263.0,1454.0,46.0,2107.0,1280.0,37.0,1735.0,1229.0,62.0
AR,Lincoln,1957.0,1526.0,63.0,2149.0,1921.0,39.0,1710.0,2513.0,183.0,1425.0,2199.0,102.0,1252.0,2455.0,119.0
AR,Little River,2883.0,2283.0,97.0,2677.0,2575.0,42.0,1753.0,3247.0,152.0,1552.0,3385.0,114.0,1397.0,3605.0,225.0
AR,Logan,3283.0,4487.0,326.0,3361.0,5076.0,114.0,2286.0,5350.0,271.0,2009.0,5079.0,243.0,1715.0,5746.0,460.0
AR,Lonoke,6851.0,10606.0,486.0,7454.0,14398.0,178.0,5968.0,17242.0,531.0,5625.0,17880.0,609.0,5664.0,19958.0,1478.0
AR,Madison,2055.0,3387.0,186.0,2421.0,3873.0,90.0,2144.0,3972.0,212.0,2099.0,4263.0,206.0,1588.0,4928.0,325.0
AR,Marion,2233.0,3402.0,380.0,2602.0,4127.0,138.0,2384.0,4524.0,254.0,2037.0,4774.0,240.0,1434.0,5336.0,337.0
AR,Miller,6278.0,7276.0,191.0,6139.0,8448.0,91.0,4869.0,9913.0,281.0,4518.0,10622.0,189.0,4273.0,11294.0,524.0
AR,Mississippi,7107.0,5199.0,280.0,7593.0,6121.0,439.0,6667.0,6976.0,367.0,6467.0,6603.0,305.0,5670.0,7061.0,473.0
AR,Monroe,1910.0,1329.0,54.0,2049.0,1586.0,32.0,1615.0,1754.0,80.0,1583.0,1585.0,62.0,1312.0,1489.0,83.0
AR,Montgomery,1438.0,2128.0,173.0,1524.0,2367.0,67.0,1092.0,2365.0,165.0,920.0,2369.0,115.0,748.0,2643.0,168.0
AR,Nevada,1867.0,1796.0,75.0,1694.0,1752.0,31.0,1474.0,2062.0,99.0,1314.0,1996.0,74.0,1157.0,2000.0,89.0
AR,Newton,1205.0,2529.0,193.0,1506.0,2779.0,93.0,1182.0,2588.0,190.0,993.0,2508.0,160.0,699.0,2875.0,179.0
AR,Ouachita,5464.0,4739.0,192.0,5188.0,5345.0,117.0,4346.0,5427.0,187.0,4633.0,5521.0,161.0,4321.0,5351.0,263.0
AR,Perry,1648.0,2114.0,245.0,1921.0,2435.0,75.0,1352.0,2743.0,184.0,1187.0,2581.0,170.0,1049.0,3008.0,249.0
AR,Phillips,6018.0,3154.0,141.0,5642.0,3161.0,65.0,5695.0,3097.0,177.0,5202.0,2598.0,130.0,4310.0,2446.0,197.0
AR,Pike,1604.0,2275.0,92.0,1310.0,2013.0,44.0,1089.0,2727.0,150.0,851.0,2847.0,90.0,685.0,3150.0,146.0
AR,Poinsett,4102.0,2988.0,145.0,4069.0,3555.0,99.0,2742.0,4903.0,283.0,2390.0,4974.0,196.0,1880.0,5502.0,340.0
AR,Polk,2315.0,4600.0,278.0,2473.0,5192.0,134.0,1957.0,5473.0,251.0,1556.0,5955.0,215.0,1212.0,6618.0,401.0
AR,Pope,6669.0,11244.0,509.0,7100.0,13614.0,188.0,6002.0,15568.0,509.0,5126.0,14763.0,550.0,5000.0,16256.0,1313.0
AR,Prairie,1563.0,1862.0,82.0,1562.0,2030.0,32.0,1048.0,2223.0,110.0,880.0,2153.0,108.0,814.0,2505.0,125.0
AR,Pulaski,68320.0,55866.0,2965.0,82755.0,67617.0,1386.0,88854.0,70212.0,2277.0,87248.0,68984.0,3149.0,89574.0,61257.0,8945.0
AR,Randolph,3019.0,2673.0,185.0,3412.0,3158.0,97.0,2469.0,3615.0,235.0,2046.0,3701.0,209.0,1425.0,4509.0,445.0
AR,St. Francis,4986.0,3414.0,96.0,5684.0,3815.0,89.0,5486.0,3917.0,102.0,4910.0,3368.0,84.0,4031.0,3195.0,204.0
AR,Saline,12700.0,18617.0,1074.0,14153.0,24864.0,359.0,12695.0,30981.0,977.0,12869.0,32963.0,1230.0,13256.0,35863.0,2981.0
AR,Scott,1444.0,2399.0,138.0,1473.0,2514.0,51.0,1053.0,2791.0,151.0,897.0,2631.0,112.0,602.0,2731.0,177.0
AR,Searcy,1229.0,2610.0,219.0,1370.0,2565.0,57.0,961.0,2726.0,160.0,814.0,2699.0,181.0,601.0,2955.0,172.0
AR,Sebastian,15555.0,23483.0,1121.0,16479.0,27303.0,429.0,13673.0,28637.0,902.0,13092.0,29169.0,1101.0,12300.0,29127.0,3210.0
AR,Sevier,2095.0,2111.0,87.0,2035.0,2516.0,50.0,1291.0,3125.0,164.0,1042.0,3136.0,152.0,1075.0,3282.0,205.0
AR,Sharp,3236.0,3698.0,192.0,3265.0,4097.0,108.0,2436.0,4535.0,281.0,2092.0,4921.0,270.0,1472.0,5407.0,370.0
AR,Stone,2043.0,2623.0,194.0,2255.0,3188.0,106.0,1598.0,3534.0,192.0,1356.0,3776.0,222.0,1203.0,4113.0,302.0
AR,Union,6261.0,8647.0,701.0,7071.0,10502.0,259.0,6190.0,10677.0,312.0,6196.0,10699.0,282.0,5855.0,10456.0,583.0
AR,Van Buren,3202.0,3485.0,297.0,3310.0,3988.0,76.0,2151.0,4276.0,276.0,1832.0,4365.0,233.0,1549.0,5382.0,408.0
AR,Washington,21425.0,28231.0,1803.0,27597.0,35726.0,780.0,29021.0,37963.0,1396.0,28236.0,39688.0,2536.0,33366.0,41476.0,7019.0
AR,White,8342.0,13170.0,638.0,9129.0,17001.0,295.0,6732.0,19467.0,756.0,5765.0,20011.0,738.0,5170.0,21077.0,972.0
AR,Woodruff,1699.0,898.0,54.0,1972.0,1021.0,33.0,1412.0,1206.0,143.0,1340.0,1227.0,118.0,1118.0,1347.0,106.0
AR,Yell,3062.0,3223.0,194.0,2913.0,3678.0,68.0,2003.0,3808.0,225.0,1722.0,4042.0,210.0,1480.0,4608.0,351.0
CA,Alameda,342889.0,119279.0,32168.0,422585.0,130911.0,7246.0,489106.0,119555.0,12368.0,469684.0,108182.0,17776.0,514842.0,95922.0,43502.0
CA,Alpine,265.0,281.0,40.0,373.0,311.0,15.0,422.0,252.0,18.0,389.0,236.0,28.0,334.0,217.0,51.0
CA,Amador,5906.0,8766.0,792.0,6211.0,10479.0,189.0,7813.0,10561.0,436.0,6830.0,10281.0,538.0,6004.0,10485.0,1245.0
CA,Butte,31338.0,45584.0,6799.0,42448.0,51662.0,1625.0,49013.0,46706.0,2606.0,42669.0,44479.0,3604.0,41567.0,45144.0,8853.0
CA,Calaveras,7093.0,10599.0,1184.0,8286.0,13601.0,419.0,9813.0,12835.0,658.0,8670.0,12365.0,751.0,7944.0,13511.0,1681.0
CA,Colusa,1745.0,3629.0,216.0,1947.0,4142.0,77.0,2569.0,3733.0,127.0,2314.0,3601.0,119.0,2661.0,3551.0,420.0
CA,Contra Costa,224338.0,141373.0,15767.0,257254.0,150608.0,4277.0,306983.0,136436.0,8231.0,290824.0,136517.0,10885.0,319287.0,115956.0,30932.0
CA,Del Norte,3117.0,4526.0,651.0,3892.0,5356.0,173.0,4323.0,4967.0,241.0,3791.0,4614.0,365.0,3485.0,5134.0,939.0
CA,El Dorado,26220.0,42045.0,3871.0,32242.0,52878.0,1158.0,40529.0,50314.0,2083.0,35166.0,50973.0,2635.0,36404.0,49247.0,7940.0
CA,Fresno,95059.0,117342.0,8434.0,103154.0,141988.0,2018.0,136706.0,131015.0,4568.0,129129.0,124490.0,5208.0,141341.0,124049.0,16929.0
CA,Glenn,2498.0,5795.0,418.0,2995.0,6308.0,132.0,3734.0,5910.0,235.0,3301.0,5632.0,278.0,3065.0,5788.0,617.0
CA,Humboldt,24851.0,23219.0,7902.0,37988.0,25714.0,1808.0,39692.0,21713.0,2322.0,34457.0,18825.0,4188.0,33200.0,18373.0,7673.0
CA,Imperial,15489.0,12524.0,924.0,13955.0,11628.0,319.0,24162.0,14008.0,650.0,25136.0,12777.0,652.0,32667.0,12704.0,2720.0
CA,Inyo,2652.0,4713.0,450.0,3021.0,4559.0,138.0,3743.0,4523.0,267.0,3422.0,4340.0,274.0,3155.0,4248.0,683.0
CA,Kern,66003.0,110663.0,5642.0,68603.0,140417.0,1838.0,93457.0,134793.0,4600.0,89495.0,126618.0,5359.0,98689.0,129584.0,15890.0
CA,Kings,11041.0,16377.0,917.0,10833.0,21003.0,257.0,14747.0,19710.0,651.0,12979.0,17671.0,768.0,13617.0,18093.0,2205.0
CA,Lake,10717.0,8699.0,1503.0,9679.0,8185.0,302.0,14854.0,9935.0,753.0,13163.0,9200.0,1028.0,11496.0,10599.0,2401.0
CA,Lassen,2982.0,7080.0,524.0,3158.0,8126.0,153.0,3586.0,7483.0,318.0,3053.0,7296.0,334.0,2224.0,7574.0,726.0
CA,Los Angeles,1710505.0,871930.0,112719.0,1907736.0,1076225.0,37686.0,2295853.0,956425.0,65970.0,2216903.0,885333.0,78831.0,2464364.0,769743.0,200201.0
CA,Madera,11650.0,20283.0,1462.0,13481.0,24871.0,428.0,17952.0,23583.0,820.0,16018.0,22852.0,996.0,17029.0,23357.0,2726.0
