state,county,2000D,2000R,2000O,2004D,2004R,2004O,2008D,2008R,2008O,2012D,2012R,2012O,2016D,2016R,2016O
MO,Polk,3606.0,6430.0,258.0,3775.0,8586.0,92.0,4553.0,8956.0,188.0,3580.0,9252.0,287.0,2631.0,10438.0,694.0
MO,Pulaski,3800.0,6531.0,200.0,3551.0,8618.0,52.0,5249.0,9552.0,199.0,4199.0,9092.0,280.0,2922.0,9876.0,690.0
MO,Putnam,708.0,1593.0,33.0,772.0,1660.0,13.0,695.0,1591.0,53.0,587.0,1673.0,49.0,353.0,1936.0,57.0
MO,Ralls,2033.0,2446.0,63.0,2031.0,2986.0,17.0,2041.0,2987.0,56.0,1736.0,3231.0,69.0,1138.0,3969.0,159.0
MO,Randolph,4116.0,4844.0,226.0,3586.0,6551.0,61.0,3984.0,6457.0,183.0,3031.0,6667.0,246.0,2283.0,7529.0,497.0
MO,Ray,4970.0,4517.0,260.0,5034.0,5673.0,81.0,5241.0,5593.0,219.0,4275.0,5815.0,277.0,3090.0,7104.0,675.0
MO,Reynolds,1298.0,1762.0,71.0,1449.0,1896.0,19.0,1418.0,1782.0,87.0,1157.0,1931.0,114.0,540.0,2406.0,92.0
MO,Ripley,1820.0,3121.0,124.0,1907.0,3693.0,53.0,1795.0,3407.0,161.0,1396.0,3743.0,124.0,830.0,4522.0,172.0
MO,St. Charles,53806.0,72114.0,2766.0,66855.0,95826.0,807.0,84183.0,102550.0,1796.0,71838.0,110784.0,3068.0,68626.0,121650.0,10729.0
MO,St. Clair,1866.0,2731.0,142.0,1841.0,3098.0,26.0,1886.0,2981.0,121.0,1460.0,3019.0,147.0,936.0,3501.0,193.0
MO,Ste. Genevieve,3600.0,3505.0,206.0,4281.0,3791.0,74.0,4979.0,3732.0,114.0,3813.0,4055.0,202.0,2542.0,5496.0,431.0
MO,St. Francois,9075.0,9327.0,439.0,10748.0,12087.0,98.0,11540.0,12660.0,350.0,8829.0,13248.0,505.0,6250.0,17468.0,1010.0
MO,St. Louis County,250631.0,224689.0,11564.0,295284.0,244969.0,2730.0,333123.0,221705.0,5026.0,297097.0,224742.0,6837.0,286704.0,202434.0,25720.0
MO,Saline,4585.0,4572.0,198.0,4479.0,5389.0,71.0,4712.0,4962.0,174.0,3790.0,5104.0,214.0,2789.0,5977.0,508.0
MO,Schuyler,808.0,1159.0,39.0,894.0,1124.0,13.0,775.0,1139.0,69.0,697.0,1174.0,68.0,354.0,1505.0,77.0
MO,Scotland,790.0,1335.0,54.0,828.0,1352.0,17.0,793.0,1249.0,56.0,643.0,1246.0,47.0,365.0,1525.0,78.0
MO,Scott,6452.0,8999.0,253.0,6057.0,11330.0,61.0,6258.0,11563.0,205.0,5122.0,11623.0,254.0,3575.0,13168.0,513.0
MO,Shannon,1430.0,2245.0,106.0,1618.0,2511.0,38.0,1637.0,2075.0,126.0,1302.0,2262.0,128.0,776.0,2966.0,162.0
MO,Shelby,1262.0,1936.0,59.0,1201.0,2280.0,21.0,1114.0,2166.0,36.0,966.0,2188.0,78.0,606.0,2524.0,125.0
MO,Stoddard,4476.0,7727.0,251.0,3946.0,9242.0,64.0,3899.0,9172.0,191.0,3153.0,9496.0,217.0,1876.0,11079.0,336.0
MO,Stone,4055.0,7793.0,303.0,4578.0,10534.0,77.0,5029.0,11147.0,211.0,3923.0,11787.0,274.0,2887.0,13158.0,522.0
MO,Sullivan,1127.0,1877.0,60.0,1178.0,1880.0,31.0,1173.0,1607.0,89.0,908.0,1610.0,77.0,526.0,1884.0,76.0
MO,Taney,5092.0,9647.0,373.0,5601.0,13578.0,101.0,6683.0,14736.0,245.0,5479.0,15746.0,434.0,4373.0,18276.0,866.0
MO,Texas,3486.0,6136.0,310.0,3664.0,7234.0,120.0,3410.0,7215.0,226.0,2871.0,7618.0,275.0,1728.0,8875.0,353.0
MO,Vernon,3156.0,4985.0,267.0,3206.0,5732.0,54.0,3381.0,5334.0,163.0,2580.0,5758.0,183.0,1707.0,6533.0,359.0
MO,Warren,4524.0,5979.0,237.0,5461.0,7883.0,88.0,6705.0,8675.0,196.0,5219.0,9150.0,307.0,3915.0,11111.0,758.0
MO,Washington,4047.0,4020.0,198.0,4459.0,4641.0,78.0,4711.0,4706.0,197.0,3417.0,5071.0,207.0,1926.0,7048.0,308.0
MO,Wayne,2387.0,3346.0,115.0,2250.0,3919.0,35.0,2243.0,3784.0,127.0,1813.0,3790.0,117.0,948.0,4658.0,49.0
MO,Webster,4174.0,7350.0,356.0,4657.0,10194.0,93.0,5685.0,10431.0,240.0,4409.0,10708.0,312.0,3177.0,12840.0,726.0
MO,Worth,469.0,651.0,38.0,436.0,691.0,5.0,427.0,707.0,40.0,341.0,664.0,43.0,195.0,808.0,43.0
MO,Wright,2250.0,5391.0,200.0,2188.0,6090.0,68.0,2557.0,5784.0,173.0,1953.0,5830.0,172.0,1170.0,6707.0,242.0
MO,St. Louis City,96557.0,24799.0,3396.0,116133.0,27793.0,712.0,132925.0,24662.0,1271.0,118780.0,22943.0,1884.0,104235.0,20832.0,6124.0
MT,Beaverhead,799.0,3113.0,284.0,1103.0,3067.0,72.0,1617.0,3008.0,138.0,1371.0,3289.0,152.0,1143.0,3353.0,353.0
MT,Big Horn,2345.0,1651.0,165.0,2215.0,2028.0,68.0,3516.0,1628.0,75.0,2882.0,1667.0,77.0,2094.0,1853.0,290.0
MT,Blaine,1246.0,1410.0,103.0,1300.0,1424.0,44.0,1702.0,1139.0,173.0,1616.0,1178.0,65.0,1202.0,1268.0,214.0
MT,Broadwater,462.0,1488.0,124.0,533.0,1778.0,42.0,854.0,1853.0,68.0,764.0,2152.0,95.0,573.0,2348.0,212.0
MT,Carbon,1434.0,3008.0,347.0,1847.0,3342.0,132.0,2443.0,3108.0,199.0,2146.0,3533.0,167.0,1828.0,3748.0,415.0
MT,Carter,53.0,573.0,19.0,76.0,623.0,10.0,111.0,573.0,182.0,96.0,678.0,20.0,70.0,678.0,38.0
MT,Cascade,13137.0,18164.0,2016.0,13701.0,19028.0,730.0,17664.0,16857.0,875.0,15232.0,18345.0,987.0,12175.0,19632.0,2764.0
MT,Chouteau,686.0,2039.0,160.0,946.0,1913.0,62.0,1122.0,1634.0,110.0,978.0,1758.0,85.0,732.0,1679.0,192.0
MT,Custer,1501.0,3156.0,248.0,1630.0,3297.0,121.0,2267.0,3047.0,168.0,1833.0,3373.0,159.0,1176.0,3657.0,352.0
MT,Daniels,303.0,750.0,57.0,326.0,764.0,29.0,343.0,694.0,36.0,237.0,740.0,30.0,168.0,730.0,64.0
MT,Dawson,1364.0,2723.0,184.0,1494.0,2884.0,106.0,1593.0,2639.0,218.0,1219.0,3029.0,175.0,787.0,3320.0,267.0
MT,Deer Lodge,2672.0,1493.0,369.0,2700.0,1725.0,118.0,3402.0,1502.0,170.0,2860.0,1448.0,152.0,2058.0,1763.0,385.0
MT,Fallon,256.0,1061.0,52.0,289.0,1178.0,24.0,318.0,1064.0,157.0,237.0,1128.0,40.0,154.0,1279.0,51.0
MT,Fergus,1352.0,4353.0,289.0,1582.0,4425.0,120.0,1933.0,4108.0,191.0,1640.0,4257.0,174.0,1202.0,4269.0,369.0
MT,Flathead,8329.0,22519.0,2991.0,11587.0,26019.0,1072.0,16138.0,25559.0,2047.0,13892.0,28309.0,1275.0,13293.0,30240.0,3038.0
MT,Gallatin,10009.0,18833.0,3198.0,16405.0,22392.0,1044.0,24205.0,22578.0,1386.0,21961.0,24358.0,1563.0,24246.0,23802.0,5771.0
MT,Garfield,61.0,651.0,32.0,52.0,590.0,13.0,110.0,598.0,19.0,66.0,622.0,12.0,34.0,653.0,31.0
MT,Glacier,2211.0,1709.0,204.0,2641.0,1828.0,93.0,3423.0,1451.0,97.0,2924.0,1415.0,113.0,3121.0,1620.0,334.0
MT,Golden Valley,88.0,405.0,38.0,119.0,396.0,7.0,124.0,343.0,25.0,110.0,351.0,18.0,71.0,365.0,38.0
MT,Granite,295.0,1181.0,114.0,404.0,1144.0,57.0,601.0,1013.0,104.0,533.0,1107.0,65.0,472.0,1192.0,113.0
MT,Hill,2760.0,3392.0,406.0,2997.0,3505.0,155.0,3596.0,2787.0,278.0,3403.0,3164.0,253.0,2371.0,3478.0,596.0
MT,Jefferson,1513.0,3308.0,342.0,1881.0,3844.0,143.0,2582.0,3538.0,221.0,2272.0,4055.0,193.0,1998.0,4177.0,539.0
MT,Judith Basin,278.0,1057.0,59.0,322.0,944.0,20.0,397.0,801.0,38.0,337.0,854.0,24.0,235.0,872.0,101.0
MT,Lake,3884.0,6441.0,1123.0,4960.0,7245.0,371.0,6766.0,6498.0,655.0,5805.0,7135.0,364.0,4776.0,7530.0,875.0
MT,Lewis and Clark,9982.0,15091.0,2196.0,12717.0,16494.0,631.0,17114.0,14966.0,1353.0,15620.0,16803.0,895.0,14478.0,16895.0,3105.0
MT,Liberty,243.0,752.0,49.0,281.0,734.0,18.0,367.0,594.0,40.0,257.0,702.0,29.0,206.0,698.0,57.0
MT,Lincoln,1629.0,5578.0,639.0,2320.0,5889.0,238.0,3025.0,5704.0,498.0,2552.0,6057.0,280.0,2041.0,6729.0,560.0
MT,McCone,267.0,827.0,48.0,320.0,791.0,26.0,321.0,726.0,59.0,223.0,745.0,25.0,154.0,862.0,44.0
MT,Madison,758.0,2656.0,242.0,983.0,2868.0,82.0,1607.0,2822.0,139.0,1289.0,3130.0,111.0,1180.0,3297.0,301.0
MT,Meagher,176.0,698.0,61.0,247.0,698.0,28.0,298.0,624.0,44.0,269.0,670.0,33.0,193.0,729.0,55.0
MT,Mineral,382.0,1078.0,179.0,542.0,1242.0,53.0,845.0,1053.0,123.0,700.0,1216.0,101.0,519.0,1330.0,163.0
MT,Missoula,17241.0,21474.0,7861.0,26983.0,23989.0,1480.0,36531.0,20743.0,1830.0,32824.0,22652.0,1716.0,31543.0,22250.0,5410.0
MT,Musselshell,512.0,1582.0,113.0,538.0,1663.0,46.0,636.0,1581.0,89.0,492.0,1833.0,82.0,332.0,1967.0,142.0
MT,Park,2154.0,4523.0,729.0,3199.0,4771.0,247.0,4173.0,4376.0,1266.0,3783.0,4709.0,276.0,3595.0,4980.0,784.0
MT,Petroleum,36.0,254.0,16.0,55.0,228.0,9.0,68.0,227.0,5.0,49.0,240.0,9.0,30.0,278.0,14.0
MT,Phillips,423.0,1727.0,78.0,456.0,1677.0,37.0,638.0,1423.0,163.0,471.0,1688.0,69.0,318.0,1723.0,130.0
MT,Pondera,792.0,1948.0,156.0,956.0,1853.0,51.0,1223.0,1588.0,74.0,975.0,1673.0,71.0,738.0,1799.0,186.0
MT,Powder River,115.0,860.0,33.0,154.0,856.0,19.0,208.0,802.0,394.0,170.0,833.0,24.0,127.0,884.0,42.0
MT,Powell,638.0,1971.0,223.0,761.0,1993.0,76.0,1021.0,1683.0,236.0,888.0,1806.0,82.0,551.0,2029.0,214.0
MT,Prairie,164.0,541.0,41.0,181.0,546.0,9.0,211.0,503.0,116.0,167.0,520.0,16.0,100.0,556.0,33.0
MT,Ravalli,4451.0,11241.0,1546.0,6144.0,13279.0,443.0,8400.0,13002.0,699.0,7285.0,14307.0,614.0,6223.0,14810.0,1523.0
MT,Richland,1018.0,2858.0,157.0,1120.0,3110.0,78.0,1203.0,3184.0,129.0,1002.0,3510.0,133.0,671.0,3908.0,292.0
MT,Roosevelt,2059.0,1605.0,149.0,2195.0,1762.0,71.0,2564.0,1473.0,910.0,2086.0,1514.0,72.0,1560.0,1797.0,295.0
MT,Rosebud,1394.0,1826.0,203.0,1520.0,1982.0,83.0,1919.0,1768.0,123.0,1422.0,2004.0,97.0,987.0,2253.0,213.0
MT,Sanders,1165.0,3144.0,412.0,1502.0,3461.0,190.0,1970.0,3563.0,335.0,1720.0,3980.0,201.0,1218.0,4286.0,449.0
MT,Sheridan,702.0,1176.0,87.0,846.0,1159.0,33.0,953.0,987.0,66.0,665.0,1207.0,56.0,477.0,1241.0,117.0
MT,Silver Bow,8967.0,6299.0,1437.0,9307.0,6381.0,396.0,11676.0,4818.0,475.0,10857.0,5430.0,469.0,8619.0,6376.0,1457.0
MT,Stillwater,925.0,2765.0,228.0,1025.0,3090.0,98.0,1512.0,2991.0,164.0,1248.0,3337.0,117.0,908.0,3661.0,304.0
MT,Sweet Grass,305.0,1450.0,91.0,445.0,1509.0,29.0,541.0,1494.0,264.0,475.0,1594.0,48.0,402.0,1595.0,110.0
MT,Teton,847.0,2294.0,173.0,1047.0,2232.0,80.0,1294.0,1874.0,104.0,1082.0,2113.0,86.0,808.0,2170.0,210.0
MT,Toole,630.0,1639.0,109.0,690.0,1583.0,38.0,737.0,1317.0,67.0,582.0,1440.0,80.0,402.0,1497.0,138.0
MT,Treasure,106.0,344.0,29.0,121.0,348.0,13.0,156.0,314.0,16.0,114.0,319.0,22.0,59.0,351.0,33.0
MT,Valley,1273.0,2500.0,190.0,1431.0,2476.0,111.0,1645.0,2121.0,660.0,1385.0,2337.0,137.0,886.0,2698.0,310.0
MT,Wheatland,243.0,708.0,48.0,250.0,706.0,23.0,289.0,657.0,37.0,272.0,693.0,27.0,179.0,702.0,65.0
MT,Wibaux,121.0,369.0,28.0,144.0,407.0,9.0,146.0,379.0,38.0,98.0,421.0,25.0,55.0,463.0,23.0
MT,Yellowstone,20370.0,33922.0,3207.0,24120.0,40903.0,1263.0,32038.0,36483.0,1910.0,26403.0,40500.0,1904.0,22171.0,40920.0,6017.0
NE,Adams,3686.0,8162.0,590.0,3791.0,9233.0,262.0,4685.0,8252.0,273.0,4062.0,8316.0,292.0,3302.0,9287.0,924.0
NE,Antelope,678.0,2562.0,128.0,613.0,2761.0,50.0,757.0,2383.0,45.0,571.0,2596.0,65.0,383.0,2732.0,166.0
NE,Arthur,26.0,235.0,11.0,24.0,240.0,2.0,39.0,217.0,7.0,30.0,227.0,5.0,17.0,244.0,12.0
NE,Banner,65.0,390.0,7.0,56.0,379.0,2.0,62.0,348.0,6.0,55.0,346.0,10.0,19.0,357.0,26.0
NE,Blaine,43.0,299.0,7.0,38.0,301.0,0.0,43.0,266.0,7.0,29.0,268.0,6.0,30.0,276.0,11.0
NE,Boone,575.0,2196.0,91.0,546.0,2309.0,40.0,742.0,2042.0,52.0,615.0,2138.0,53.0,414.0,2299.0,192.0
NE,Box Butte,1614.0,3208.0,267.0,1657.0,3396.0,99.0,1886.0,2932.0,161.0,1692.0,2869.0,144.0,965.0,3617.0,342.0
NE,Boyd,265.0,931.0,46.0,228.0,911.0,9.0,250.0,839.0,21.0,188.0,873.0,10.0,128.0,983.0,45.0
NE,Brown,250.0,1375.0,59.0,268.0,1426.0,39.0,311.0,1208.0,48.0,224.0,1302.0,29.0,153.0,1385.0,59.0
NE,Buffalo,3927.0,11931.0,603.0,4100.0,14222.0,286.0,5867.0,13097.0,329.0,5365.0,13570.0,518.0,4763.0,14569.0,1797.0
NE,Burt,1223.0,2056.0,113.0,1272.0,2349.0,47.0,1413.0,1907.0,67.0,1291.0,2029.0,55.0,930.0,2367.0,261.0
NE,Butler,1028.0,2638.0,162.0,1068.0,3016.0,84.0,1190.0,2557.0,92.0,1045.0,2738.0,76.0,691.0,3079.0,211.0
NE,Cass,3656.0,6144.0,480.0,3619.0,7763.0,147.0,4753.0,7120.0,249.0,4367.0,7556.0,257.0,3484.0,8452.0,997.0
NE,Cedar,1062.0,2989.0,218.0,1083.0,3387.0,66.0,1190.0,2912.0,72.0,958.0,3278.0,98.0,571.0,3532.0,317.0
NE,Chase,306.0,1505.0,64.0,302.0,1652.0,19.0,341.0,1477.0,26.0,254.0,1584.0,29.0,171.0,1648.0,79.0
NE,Cherry,446.0,2322.0,79.0,483.0,2509.0,50.0,599.0,2360.0,100.0,436.0,2557.0,71.0,317.0,2623.0,178.0
NE,Cheyenne,844.0,3207.0,135.0,893.0,3791.0,62.0,1173.0,3572.0,94.0,1084.0,3449.0,116.0,711.0,3665.0,335.0
