state,county,2008D,2012D,2016D,2020D,2008R,2012R,2016R,2020R,2008O,2012O,2016O,2020O
VA,Newport News,51108,50024,47675,42789,23442,25806,25745,31304,3816,1851,5394,7336
VA,Norfolk,62260,62760,59559,55218,21849,23026,22652,24722,4216,2137,5670,6527
VA,Norton,1006,846,604,405,1140,1076,928,1082,37,30,43,64
VA,Petersburg,13204,14042,12700,10841,1427,1615,1471,2275,203,89,242,350
VA,Poquoson,2086,1899,1685,1516,5543,5607,5240,5126,249,175,344,642
VA,Portsmouth,29958,30635,28622,23869,12521,13316,13545,16290,1237,715,1581,2641
VA,Radford,3211,2891,2905,2987,2658,2664,2587,3119,269,205,383,736
VA,Salem,5144,4963,4544,3967,7246,7600,7319,7819,448,329,597,1153
VA,Staunton,5693,5669,5355,5036,5127,5413,5273,6254,434,280,576,1105
VA,Suffolk,21901,23151,22503,21856,17626,19004,18494,19139,1252,644,1608,2581
VA,Virginia Beach,96597,95556,91559,93628,90542,101343,98685,103604,13396,6997,20349,17362
VA,Waynesboro,4119,3909,3780,3692,4812,4965,4867,5652,356,227,455,815
VA,Williamsburg,4808,4679,4799,5255,2737,2880,2213,1690,261,212,371,693
VA,Winchester,5428,5195,5148,5147,4596,5008,4844,5990,392,323,551,1101
WA,Adams,1897,1782,1446,1145,3079,3265,3156,4065,148,116,208,349
WA,Asotin,4190,4164,3539,2793,5812,5929,5736,6058,497,309,617,1089
WA,Benton,25611,27304,25845,23917,45668,51106,47224,46436,6722,3350,9747,10805
WA,Chelan,13312,13486,13283,13150,16995,18922,18639,21184,1434,937,1681,2396
WA,Clallam,18694,19137,18526,17868,17652,19291,19294,21971,2049,1423,2446,3250
WA,Clark,93334,96835,93760,95365,76048,94702,90333,99687,14791,8543,22807,19930
WA,Columbia,1034,910,625,382,1836,1776,1539,1559,85,60,120,193
WA,Cowlitz,22057,22051,19839,15811,20096,21903,23264,30387,2638,1611,2902,2557
WA,Douglas,5706,5301,5146,4708,9452,9930,9660,10130,592,404,717,1213
WA,Ferry,1753,1559,1269,941,2211,2151,2114,2590,184,184,263,461
WA,Franklin,8063,8332,8400,9256,12833,14041,13324,13815,961,611,1248,2309
WA,Garfield,915,789,565,439,1276,1157,918,813,55,36,81,141
WA,Grant,9137,9146,8387,7206,16966,18646,18797,21875,1276,862,1358,1613
WA,Grays Harbor,15183,16137,13868,10709,12036,12667,13803,17750,1473,967,1590,1861
WA,Island,21139,21659,21291,21022,18655,20308,19416,19859,2586,1522,3442,4965
WA,Jefferson,13033,13386,13047,13018,6195,6593,6256,6903,788,844,1173,2509
WA,King,679299,680389,715281,744327,163394,305546,198761,396432,26957,22191,43831,53839
WA,Kitsap,67340,69923,65491,64826,47180,52682,48758,50893,12783,6692,18974,15984
WA,Kittitas,8045,8167,7706,7273,9885,10334,10115,10557,846,529,970,1454
WA,Klickitat,4995,4788,4461,4021,5367,5509,5586,6601,466,424,604,1080
WA,Lewis,12351,12644,10954,8270,19775,21415,21993,26405,1622,1174,1790,2247
WA,Lincoln,2184,1967,1576,1048,4008,4186,4066,4823,220,185,294,506
WA,Mason,14185,14971,13286,11018,13046,13670,13701,14713,1610,926,1791,1980
WA,Okanogan,7394,7324,6740,5889,8539,9387,9579,12087,722,605,809,1192
WA,Pacific,5984,6012,5217,4225,4909,4751,5117,6235,462,373,553,900
WA,Pend Oreille,2806,2767,2251,1744,4164,4139,4198,4889,359,238,400,618
WA,Pierce,174926,188779,179771,180774,123206,148369,149104,158845,18530,12264,28336,25131
WA,San Juan,7512,7472,7286,7265,2971,3227,2853,3254,486,443,716,1536
WA,Skagit,27859,27761,26835,25257,22694,25083,24703,27901,3918,2297,4923,5136
WA,Skamania,3014,2859,2490,2091,2795,2812,2808,3503,272,208,356,623
WA,Snohomish,180111,189964,192359,193524,109868,132465,130072,136988,18632,12485,28404,25286
WA,Spokane,101139,102527,96322,96863,99379,116578,115062,118964,17015,10467,25839,21568
WA,Stevens,7848,7881,6680,4781,13780,14669,15001,17102,1121,781,1146,1302
WA,Thurston,74191,76229,71293,71058,47805,51781,49066,48903,12789,7244,20269,20039
WA,Wahkiakum,1444,1359,992,677,1428,1304,1254,1548,108,93,148,235
WA,Walla Walla,9993,10090,9845,9683,13925,15201,14389,14732,1266,876,1603,2756
WA,Whatcom,59861,59867,59221,62232,39256,43493,40615,40746,6504,5023,13486,23986
WA,Whitman,8881,8591,8474,8305,7205,8407,7898,9786,1064,704,1291,2111
WA,Yakima,32820,32955,31934,30047,39138,42893,41110,44410,3988,2342,4655,3863
WV,Barbour,2204,2077,1686,1460,3932,3943,4253,5611,181,174,257,430
WV,Berkeley,14506,14331,13336,11502,22368,23844,26389,36893,1420,955,1868,3307
WV,Boone,2916,3014,2706,3558,4698,5320,5741,8688,240,225,328,517
WV,Braxton,2340,2288,1850,1710,2896,2817,3202,4560,130,102,184,301
WV,Brooke,3815,4186,3414,3469,5459,5312,6099,8068,266,266,362,620
WV,Cabell,12986,13790,13048,14024,17072,18499,20143,27506,1125,687,1256,1656
WV,Calhoun,1019,1049,703,699,1825,1511,1775,2362,86,72,105,147
WV,Clay,1197,1183,867,953,1927,2026,2091,3118,96,102,97,101
WV,Doddridge,950,837,591,473,2415,2306,2315,2840,77,58,96,138
WV,Fayette,5219,5533,5315,6881,8489,8782,9686,12522,397,304,490,757
WV,Gilmer,1106,1087,735,621,1730,1712,1726,2370,80,71,88,109
WV,Grant,1195,1018,730,446,3265,3687,3973,6231,74,78,83,108
WV,Greenbrier,5241,5079,4541,4096,7725,8169,9070,12367,424,329,530,852
