state,county,2008D,2012D,2016D,2020D,2008R,2012R,2016R,2020R,2008O,2012O,2016O,2020O
AL,Autauga,6298,6420,6004,5719,17505,18354,18368,19380,492,257,615,1070
AL,Baldwin,18634,18858,18829,18947,64696,71430,68989,75845,3072,1653,3777,4005
AL,Barbour,5802,6045,5247,4457,5859,5863,5667,5940,92,61,114,170
AL,Bibb,2583,2467,2098,1763,6618,6432,6592,7047,124,102,169,265
AL,Blount,3103,3202,2699,2705,20743,21670,22327,25086,413,263,453,640
AL,Bullock,4209,4190,3739,3325,1554,1476,1250,1306,23,12,29,50
AL,Butler,4414,4492,3949,3483,5586,5399,5140,4892,60,40,79,126
AL,Calhoun,15443,16086,14626,12863,32801,31277,32901,37111,1128,517,1270,1246
AL,Chambers,6746,6933,6159,5244,8191,8130,8002,8099,158,143,225,384
AL,Cherokee,1928,2245,1843,2407,7945,7805,8405,9598,166,158,206,295
AL,Chilton,3631,3641,3250,3205,14318,14931,15094,16318,231,180,297,509
AL,Choctaw,3905,4001,3404,2914,4525,4411,4204,4178,50,34,61,94
AL,Clarke,6172,6368,5849,5515,7617,7774,7337,7073,84,59,110,169
AL,Clay,1876,1988,1497,1344,5346,5128,5193,5518,97,79,120,176
AL,Cleburne,1207,1204,875,863,5624,5459,5576,5998,107,63,120,164
AL,Coffee,5160,5157,4588,3982,15103,15641,15880,17141,379,253,493,910
AL,Colbert,8442,9287,8347,8689,15199,15296,16380,19108,516,173,607,623
AL,Conecuh,3691,3680,3251,2898,3821,3698,3502,3502,57,34,68,101
AL,Coosa,2547,2456,2036,1638,3602,3295,3351,3560,58,37,71,110
AL,Covington,3181,3362,2787,2645,12692,12974,13220,14241,170,149,237,399
AL,Crenshaw,2298,2274,1843,1500,4675,4534,4471,4655,54,40,70,111
AL,Cullman,3996,4935,4582,6878,30381,30495,32158,37508,723,365,786,884
AL,Dale,5355,5455,4781,4078,13826,14191,14191,15097,308,226,390,683
AL,Dallas,13730,14704,13499,12210,6240,6509,6222,6932,103,74,133,206
AL,DeKalb,4351,5216,4458,5513,19021,19983,21000,24949,478,177,555,592
AL,Elmore,8575,8986,8466,8273,25544,26616,26776,28606,697,322,848,1282
AL,Escambia,5329,5484,4835,4197,9683,9820,9873,10425,182,136,243,416
AL,Etowah,11238,12689,11904,13724,31155,29936,31900,36943,922,605,928,1021
AL,Fayette,1857,1994,1621,1849,6423,6389,6506,7119,112,91,145,221
AL,Franklin,2713,3236,2702,3486,8657,8285,9087,10501,235,141,282,453
AL,Geneva,2297,2294,1824,1510,9692,9705,9889,10519,150,130,201,318
AL,Greene,4644,4685,4214,3848,1122,1022,852,938,22,17,24,40
AL,Hale,5361,5614,4989,4672,3391,3396,3233,3590,51,30,68,113
AL,Henry,3219,3258,2634,1997,5872,5846,5654,5692,81,59,112,178
AL,Houston,11750,12335,11242,9761,29230,29961,30164,32124,743,329,901,1296
AL,Jackson,4336,5648,4778,6632,14760,15355,16115,18308,416,207,468,560
AL,Jefferson,163688,158629,160919,158308,129168,138252,134953,144631,11167,5762,14272,8559
AL,Lamar,1596,1822,1303,1325,5816,5723,5726,6065,69,64,86,132
AL,Lauderdale,11350,12550,11465,12119,24838,25333,26801,32347,1060,371,1312,1068
AL,Lawrence,4336,5093,4302,4923,9781,9467,10338,11805,272,186,307,468
AL,Lee,20689,21280,21162,21154,33374,33334,34320,37268,2507,1305,3107,3589
AL,Limestone,9778,10309,9726,9559,24707,25893,27089,32561,1080,382,1345,1340
AL,Lowndes,5603,5786,5126,4507,2096,1977,1805,1887,30,17,36,57
AL,Macon,9024,9214,8229,6841,1581,1510,1415,1763,66,33,100,175
AL,Madison,64769,64409,62969,65138,85818,95159,92029,92204,10429,5249,13650,9160
AL,Marengo,6141,6313,5787,5408,5745,5676,5407,5308,70,46,105,179
AL,Marion,1799,2314,1855,2783,10242,10412,10902,12310,208,150,239,336
AL,Marshall,5592,6315,5764,7034,26187,26818,27953,32568,709,416,781,1053
AL,Mobile,80000,79663,74334,75074,95450,98560,95505,98241,4673,2513,5543,4085
AL,Monroe,5066,4969,4551,4022,6318,6136,5978,5929,83,63,112,174
AL,Montgomery,62156,64319,61318,57381,36657,36853,35351,37315,2063,904,2483,2191
AL,Morgan,12889,13845,12546,11803,37724,37648,37890,39558,1237,560,1396,1262
AL,Perry,4637,4724,4120,3557,1850,1739,1530,1576,33,26,37,53
AL,Pickens,4730,4655,4233,3809,5717,5495,5498,5714,59,40,86,151
AL,Pike,5897,6033,5347,4553,8161,8357,7920,7708,215,166,311,592
AL,Randolph,3282,3335,2683,2049,7517,7501,7553,7961,143,101,164,229
AL,Russell,10109,10670,9885,9221,9033,8926,9159,9844,265,158,329,583
AL,St. Clair,6200,6096,5801,5557,28500,29469,30276,33933,700,315,812,1042
AL,Shelby,20554,20506,22065,25726,69802,77386,73854,76362,4373,2214,5283,4082
AL,Sumter,5451,5583,5000,4503,1870,1787,1646,1899,44,26,61,103
AL,Talladega,13324,14110,12904,11453,20028,20438,20879,22873,463,223,521,721
AL,Tallapoosa,6257,6522,5820,5255,13263,13447,13711,14809,223,167,289,507
AL,Tuscaloosa,32117,31725,31906,32365,46601,48637,47434,48792,2345,1250,2732,2705
AL,Walker,5634,6539,5657,6637,21594,22885,23521,27243,478,146,559,479
AL,Washington,3114,3200,2708,2544,6041,6011,5954,6249,75,51,93,140
AL,Wilcox,4887,4988,4497,4162,2118,1923,1807,1889,26,10,31,50
AL,Winston,1477,1512,1190,1381,8490,8769,9019,10375,157,105,179,245
AZ,Apache,15876,17686,17305,19483,8610,8758,8484,8616,1563,674,1993,2517
AZ,Cochise,18480,19314,18441,17658,27998,29430,28005,25930,3578,1767,4316,3496
AZ,Coconino,31942,30311,32243,37255,21047,22053,21867,23573,5564,2397,7972,9419
AZ,Gila,7433,7929,7455,7998,14011,14314,14378,15103,660,386,747,1062
AZ,Graham,3827,3825,3448,3252,8435,8462,8203,8084,450,229,561,960
AZ,Greenlee,1511,1519,1172,1056,1902,1765,1815,2363,137,105,215,400
AZ,La Paz,2196,2130,1769,1544,4004,3901,3873,4195,207,169,292,515
AZ,Maricopa,651206,627514,678917,680294,736851,748650,758505,802318,24615,21141,37791,41960
AZ,Mohave,20320,19970,18992,17630,49129,52513,52753,62107,3269,1835,3705,2848
AZ,Navajo,16232,17684,16906,17283,19741,20717,20696,21759,2297,972,2871,2685
AZ,Pima,209606,205904,210087,210640,176322,174674,171339,172759,17640,10871,27255,23273
AZ,Pinal,47079,45463,46865,47878,64575,64993,66229,72566,8842,3899,12965,13078
AZ,Santa Cruz,9782,9880,10811,12976,4440,4474,4179,4374,469,246,604,1103
AZ,Yavapai,37512,35149,36367,39005,64303,69810,67760,73945,7567,3934,9623,7025
AZ,Yuma,20263,20190,23249,31477,24178,24270,24981,27989,2304,993,2870,2722
AR,Arkansas,2399,2603,2224,2600,4391,4173,3989,3870,253,158,320,518
AR,Ashley,2505,2902,2629,3662,5579,5148,5328,5546,238,156,287,394
AR,Baxter,5515,5479,5016,5079,13531,14340,14446,15790,627,358,672,785
AR,Benton,24456,24293,26745,34236,54338,58863,57429,63452,8066,4147,10364,7566
AR,Boone,4070,4062,3525,3251,11289,11811,11977,13212,635,515,681,921
AR,Bradley,1520,1599,1429,1988,2598,2377,2234,2182,112,73,138,203
AR,Calhoun,844,847,642,848,1862,1689,1553,1571,64,51,65,75
AR,Carroll,4140,4001,3690,3556,6352,6423,6628,7746,395,360,492,746
AR,Chicot,3119,2944,2650,2462,2316,1937,1858,1696,68,50,87,134
AR,Clark,3779,3938,3864,4922,4834,4612,4501,4501,296,268,399,654
AR,Clay,1566,1860,1547,2351,3610,3418,3552,4050,180,99,183,213
AR,Cleburne,1864,2550,2358,4282,8700,9002,9107,10089,361,206,400,477
AR,Cleveland,844,985,758,1233,2781,2510,2464,2514,124,84,140,179
AR,Columbia,3338,3647,3343,4064,6011,6105,5698,5587,191,144,240,391
AR,Conway,2549,3003,2832,4235,5025,4799,4825,5074,291,168,329,442
AR,Craighead,9316,10463,11114,15782,19908,21152,21928,25699,1376,781,1467,1361
AR,Crawford,4175,4816,4788,6987,15340,16218,16508,18210,774,437,840,931
AR,Crittenden,9761,9701,8999,7825,7616,7417,7222,7016,348,209,410,595
AR,Cross,2310,2426,2215,2815,4732,4502,4533,4775,196,165,249,397
AR,Dallas,1562,1544,1293,1424,2025,1911,1645,1537,76,56,81,92
AR,Desha,2560,2613,2383,2750,2345,2129,1978,1908,106,85,104,117
AR,Drew,2593,2758,2490,2967,4202,4057,3950,4044,162,110,211,323
AR,Faulkner,14790,14908,15061,16093,25881,27114,27714,31414,2696,1647,3264,3766
AR,Franklin,1318,1754,1511,2669,4942,4885,4889,5328,249,224,318,510
AR,Fulton,1538,1639,1335,1685,3316,3146,3247,3736,165,132,202,297
AR,Garland,12983,13888,13855,16852,25544,25771,25782,26523,1652,835,1779,1260
AR,Grant,1198,1508,1383,2504,5456,5069,5461,6103,221,168,298,448
AR,Greene,3029,3891,3607,5805,9400,9497,10115,11657,558,593,666,895
AR,Hempstead,2331,2537,2518,3787,4598,4450,4368,4489,185,136,224,306
AR,Hot Spring,3122,3779,3564,5428,7640,7411,7839,8643,446,242,492,605
AR,Howard,1636,1648,1482,1922,3363,3136,3122,3320,125,81,139,179
AR,Independence,2546,3195,3135,5320,8998,9176,9519,10718,454,366,553,831
AR,Izard,1395,1648,1341,1984,3835,3728,3796,4327,211,151,247,340
AR,Jackson,1519,2087,1780,3089,3479,3253,3225,3374,230,146,262,354
AR,Jefferson,16522,17817,17218,18764,10327,10219,9824,9392,664,411,689,872
AR,Johnson,2733,2925,2669,3325,5544,5305,5707,6567,356,282,443,730
AR,Lafayette,1162,1305,1061,1495,2056,1930,1769,1832,66,29,61,69
AR,Lawrence,1297,1815,1524,2817,3900,3712,3840,4318,288,150,305,375
AR,Lee,2222,2295,1965,2152,1655,1519,1329,1356,53,41,55,71
AR,Lincoln,1575,1605,1408,1815,2781,2392,2450,2519,117,42,101,87
AR,Little River,1349,1619,1476,2506,3663,3499,3480,3705,150,105,187,273
AR,Logan,1708,2056,1883,3061,5743,5457,5653,6130,307,250,372,559
AR,Lonoke,4993,5578,5816,8455,17958,18858,19558,22186,847,529,956,1199
AR,Madison,2132,2280,1846,1929,4558,4479,4658,5461,228,210,284,414
AR,Marion,2263,2287,1831,1691,5093,4999,5106,5667,269,251,308,424
AR,Miller,4022,4506,4505,6415,10516,10996,11023,11929,336,150,378,492
AR,Mississippi,5902,6531,6135,7306,7175,6956,7041,7309,350,318,443,794
AR,Monroe,1572,1725,1435,1828,2068,1862,1630,1420,78,60,76,85
AR,Montgomery,1032,1100,855,1170,2701,2561,2568,2989,145,106,149,176
AR,Nevada,1542,1520,1284,1447,2413,2214,2053,1982,84,60,81,84
AR,Newton,1159,1205,881,984,2781,2671,2778,3514,173,154,171,176
AR,Ouachita,4048,4613,4407,5835,5657,5789,5476,5621,203,183,238,340
AR,Perry,1204,1326,1131,1691,3147,2816,2926,3194,184,163,217,289
AR,Phillips,5512,5536,4887,4301,3081,2879,2706,2764,156,114,169,211
AR,Pike,1137,1085,831,888,3160,2940,2984,3239,121,68,124,148
AR,Poinsett,1916,2406,2161,3527,5276,5030,5233,5662,262,163,293,397
AR,Polk,1686,1749,1478,1834,6184,6240,6336,7112,293,246,347,532
AR,Pope,5041,5253,5363,7064,15583,15878,16294,17792,746,473,836,1057
AR,Prairie,958,1035,861,1350,2663,2389,2429,2644,100,86,108,121
AR,Pulaski,87425,92545,89489,92980,67147,71753,65236,62844,10432,5299,14948,13375
AR,Randolph,1846,2164,1797,2521,4189,3899,4206,4866,285,224,352,546
AR,St. Francis,5109,5191,4620,4393,3966,3702,3493,3341,136,110,173,264
AR,Saline,11739,13094,13532,17390,32999,33782,34727,38380,1970,1341,2225,2532
AR,Scott,988,1089,761,956,3118,2877,2784,2812,136,98,151,191
AR,Searcy,924,1002,718,953,3145,2939,2914,3125,148,147,155,155
AR,Sebastian,11159,12830,13273,18388,28152,29723,28755,28364,2272,1403,2591,2748
AR,Sevier,1032,1152,1085,1943,3484,3282,3230,3354,149,124,173,214
AR,Sharp,1918,2217,1829,2439,5149,5117,5169,5744,269,239,320,440
AR,Stone,1351,1486,1313,1986,4062,3961,3957,4333,223,229,269,376
AR,Union,5657,6242,6074,7602,10735,11289,10805,10930,414,329,470,722
AR,Van Buren,1513,1875,1713,2951,4920,4645,5036,5876,265,197,327,461
AR,Washington,30694,30040,32304,39056,39676,42050,41047,42662,5427,3676,10655,19476
AR,White,4757,5613,5762,9051,19722,20875,20962,22491,804,617,804,843
AR,Woodruff,1290,1467,1213,1740,1641,1453,1320,1294,103,73,95,79
AR,Yell,1548,1806,1631,2595,4364,4264,4386,5031,233,196,302,446
CA,Alameda,496819,476855,495863,498506,92277,98271,91236,109193,22836,19179,34031,35090
CA,Alpine,928,797,565,409,862,779,558,526,33,29,39,60
CA,Amador,7370,7044,6537,5518,10545,10922,10743,11340,730,555,840,1227
CA,Butte,48830,43026,43971,44909,38090,42461,42330,56221,10445,5486,14793,13552
CA,Calaveras,9281,9030,8519,7579,12334,13039,13660,16716,1020,850,1103,1458
CA,Colusa,2880,2489,2599,2756,3627,3739,3648,4451,236,172,311,549
CA,Contra Costa,321856,295943,301427,291562,102679,130304,118288,128580,19849,14579,29718,27685
CA,Del Norte,4379,4100,3812,3422,4885,4830,5099,6354,533,434,687,1263
CA,El Dorado,40272,34880,37565,40771,44868,51312,48010,52112,8807,4512,11711,9286
CA,Fresno,141808,129110,135588,132400,109157,122022,121491,135492,15895,9182,23950,19354
CA,Glenn,3818,3512,3297,2973,5718,5853,5888,6967,378,328,478,803
CA,Humboldt,39195,35402,35868,36678,17067,18429,19887,27806,2963,3933,7565,25042
CA,Imperial,26139,25577,29738,39626,13402,13389,13171,13028,1863,881,2153,1888
CA,Inyo,3866,3619,3369,3056,4614,4592,4405,4671,416,315,499,800
CA,Kern,95413,93185,93295,97620,122351,125823,126738,135846,15522,8948,23233,19083
CA,Kings,13925,13517,13808,14175,17746,18523,19060,22775,1400,780,1578,1752
CA,Lake,13323,12894,12180,10347,10107,9764,10361,11294,1410,1141,1692,2487
CA,Lassen,3549,3363,2774,1945,7126,7515,7655,9376,442,354,529,819
CA,Los Angeles,1595857,1651758,1998179,1767740,650719,914165,784318,1004265,26942,22166,43729,53552
CA,Madera,16976,16506,17085,17926,21773,23293,23644,27784,1806,1209,2016,2371
CA,Marin,109850,101786,103453,107886,20247,27881,24601,33434,10376,5814,15481,15970
CA,Mariposa,4071,3720,3451,2961,5484,5446,5293,5535,366,388,473,793
CA,Mendocino,25107,23021,23291,24249,9102,9797,11102,16384,3661,2781,4781,6600
CA,Merced,35038,33079,35637,40500,23715,26345,27805,38896,4200,2362,5369,5538
CA,Modoc,1596,1411,1084,700,2971,2960,2824,3287,150,120,184,275
CA,Mono,3303,2977,2894,2813,2393,2448,2229,2603,229,210,323,581
CA,Monterey,88676,86545,85068,91143,24264,31209,32954,59334,10773,5431,14920,12060
CA,Napa,40484,37556,39287,42644,16704,19161,18758,22613,4053,2372,4777,4059
CA,Nevada,26948,24796,26386,30350,21492,24043,23914,28958,5345,3024,7393,8385
CA,Orange,633395,530868,580562,445723,431793,588355,529178,605441,23995,20652,36434,39492
CA,Placer,77110,65959,70063,75439,87941,101815,97831,99165,14468,8286,22139,19391
CA,Plumas,4630,4333,3921,3265,5402,5815,5705,7119,472,335,559,895
CA,Riverside,334667,337642,352786,359477,276817,322872,330053,351799,21681,17274,32248,31858
CA,Sacramento,333182,304652,313433,301376,166522,198736,191771,214849,21420,16694,31980,31342
CA,San Benito,11997,11943,12380,13332,6745,7385,7826,10803,943,449,1119,1471
CA,San Bernardino,334377,310500,322233,313497,248458,262877,263498,282081,20427,15665,30316,28449
CA,San Diego,740325,649462,699180,571155,394859,540842,480299,550585,24882,21355,38392,43091
CA,San Francisco,348327,310134,317654,296070,43922,43910,39768,38816,19017,15637,27785,27342
CA,San Joaquin,114706,117156,120094,119053,72939,84715,81805,104518,14494,7968,21516,17471
CA,San Luis Obispo,69464,62077,64024,71399,46765,57601,52810,65751,13083,7052,18998,16263
CA,San Mateo,246567,209923,226822,207443,53892,68201,58535,64444,16555,10601,25028,22112
CA,Santa Barbara,107398,95705,99164,104443,42004,59219,51787,75626,14113,7768,20809,17310
CA,Santa Clara,475877,461990,485157,491732,145821,162059,143053,166928,22665,18879,33758,34555
CA,Santa Cruz,97442,93601,92074,97972,19246,22338,23289,33155,12722,7935,19443,19803
CA,Shasta,25722,24747,23446,20990,45612,48995,48662,59460,6021,3400,7453,6389
CA,Sierra,1087,924,677,454,1370,1274,1096,1198,118,99,152,228
CA,Siskiyou,8727,8402,7863,6814,10550,11399,11707,14574,1158,834,1270,1622
CA,Solano,101900,99788,99197,102900,44135,49065,48386,65114,12805,6663,18580,14999
CA,Sonoma,173977,152191,161160,153599,30704,47509,45930,93681,16804,11340,25659,23894
CA,Stanislaus,81461,80482,79306,82923,62656,74451,71182,95861,13219,7111,19522,16694
CA,Sutter,12932,12637,13036,13564,17350,18751,18996,22464,1481,805,1674,1839
CA,Tehama,8404,8214,7489,6236,14272,15099,15738,18998,965,873,1082,1522
CA,Trinity,3264,2971,2610,2060,2716,2813,2845,3933,388,344,515,937
CA,Tulare,46775,43615,45941,49955,49320,56035,54397,70653,6808,3625,8928,7906
CA,Tuolumne,10768,10496,9889,8820,14023,14689,15092,17788,1099,896,1223,1666
CA,Ventura,205596,170316,189399,172028,113610,144681,133659,145569,18248,12251,27715,24543
CA,Yolo,56021,49889,52865,58198,19988,22343,22061,26459,7171,3781,10000,10034
CA,Yuba,8408,7763,7960,7675,12144,12279,13061,15360,1147,805,1350,2019
CO,Adams,92882,102164,99478,98017,63138,77690,73196,88786,15454,9052,24149,21198
CO,Alamosa,3853,3964,3404,3011,2646,2761,2889,4135,392,267,517,968
CO,Arapahoe,147581,154761,161611,160044,100456,123378,117768,123903,17369,10676,26992,23340
CO,Archuleta,3058,2838,2625,2406,4088,4059,4100,4745,326,246,426,765
CO,Baca,934,798,552,349,1834,1734,1691,2081,83,76,97,131
CO,Bent,1101,1061,705,480,1244,1229,1130,1555,81,62,113,183
CO,Boulder,123608,128086,131936,130642,32094,44998,39002,54805,13224,8191,21806,23792
CO,Chaffee,5148,5151,4884,4793,5216,5293,5283,5980,547,376,709,1339
CO,Cheyenne,904,792,564,455,1197,1102,922,982,34,31,37,49
CO,Clear Creek,3523,3381,3005,2629,2510,2551,2496,3145,315,257,427,794
CO,Conejos,2475,2445,1991,1601,1904,1957,1837,2346,173,106,241,439
CO,Costilla,1605,1569,1226,1040,793,752,574,730,73,57,102,167
CO,Crowley,935,812,544,310,1283,1136,1040,1193,58,43,80,134
CO,Custer,1293,1129,872,624,2083,1963,1941,2295,107,80,158,269
CO,Delta,5054,4843,4442,3869,10874,11526,11479,12608,610,459,745,1284
CO,Denver,209291,224778,233846,240138,47890,70256,58709,79341,17694,11223,27597,24828
CO,Dolores,922,798,560,400,1195,1075,911,938,50,52,57,81
CO,Douglas,65551,62579,64224,69157,89520,105522,102606,105239,13939,7179,21174,16612
CO,Eagle,13209,13313,13807,14880,8505,9514,9060,10453,1399,678,1822,2851
CO,Elbert,3909,3728,3373,2917,10262,10769,11148,12986,657,324,781,1143
CO,El Paso,106975,113123,112405,109317,154151,172592,178839,184816,9921,11215,22750,44351
CO,Fremont,6693,6899,5916,4710,13596,14282,14786,16848,933,633,1096,1721
CO,Garfield,11323,11657,11386,11357,12216,13181,13033,14427,1317,755,1690,2813
CO,Gilpin,2268,2156,1817,1545,1595,1511,1457,1813,201,153,284,512
CO,Grand,4122,3877,3600,3230,4357,4424,4417,5186,412,320,563,1100
CO,Gunnison,5643,5325,5264,5194,3225,3431,3280,4061,573,355,726,1330
CO,Hinsdale,902,794,563,454,884,790,559,479,30,19,38,64
CO,Huerfano,2291,2180,1818,1482,1876,1802,1778,2244,148,136,218,380
CO,Jackson,952,799,575,396,895,816,623,676,32,31,44,80
CO,Jefferson,154223,160095,166017,164300,113927,142192,137885,149443,18326,11846,28224,24959
CO,Kiowa,916,787,572,463,960,884,700,769,30,25,30,37
CO,Kit Carson,1242,1123,732,286,2740,2865,2823,3678,118,97,162,256
CO,Lake,2198,2079,1762,1503,1316,1260,1188,1578,164,142,250,465
CO,La Plata,15695,16221,15948,16161,11896,13157,12752,14293,1913,1168,2946,6304
CO,Larimer,89598,96886,95201,94857,69787,86068,81310,90304,12047,8591,21807,29984
CO,Las Animas,3714,3722,3082,2416,3440,3408,3520,4347,241,208,339,625
CO,Lincoln,911,806,545,365,1975,1865,1834,2241,73,53,101,162
CO,Logan,2984,2974,2308,1554,6407,6469,6932,8539,324,292,462,904
CO,Mesa,22623,23406,22221,20010,46395,50188,48450,50913,6036,2899,8582,9612
CO,Mineral,918,808,559,397,859,782,557,523,37,18,49,82
CO,Moffat,1792,1636,1194,639,4697,4826,4990,6224,227,195,298,506
CO,Montezuma,4773,4714,4251,3757,7368,7705,7704,8760,562,464,774,1571
CO,Montrose,6349,6202,5757,5049,13187,14188,14153,15691,801,397,901,1075
CO,Morgan,3991,4039,3447,2857,6626,6827,7623,10249,370,326,519,1016
CO,Otero,3788,3858,3258,2727,4357,4484,4766,6362,318,226,421,773
CO,Ouray,2027,1836,1693,1647,1674,1673,1398,1442,136,106,202,355
CO,Park,4292,4063,3720,3247,5554,5505,5790,6814,497,310,597,979
CO,Phillips,958,846,578,384,1881,1806,1735,2111,55,43,78,135
CO,Pitkin,7483,7212,7329,7572,2735,3099,2644,3098,357,274,488,940
CO,Prowers,1841,1774,1368,1000,3204,3314,3379,4430,166,146,242,425
CO,Pueblo,39967,42197,38618,32255,31358,33759,34645,42843,6457,3040,9483,11139
CO,Rio Blanco,1003,844,591,346,2877,2885,2728,3061,119,97,174,298
CO,Rio Grande,2723,2674,2227,1811,2871,2997,3031,4122,226,190,344,684
CO,Routt,8092,7774,7728,7514,4911,5483,5208,6444,682,376,850,1479
CO,Saguache,2088,2105,1623,1248,1177,1125,1057,1458,146,129,217,386
CO,San Juan,902,795,566,462,900,792,567,473,23,28,23,32
CO,San Miguel,3544,3240,3120,3002,1240,1316,1029,1185,171,150,258,477
CO,Sedgwick,959,810,559,317,1140,1064,950,1189,47,38,62,100
CO,Summit,9751,9731,9650,9702,4974,5591,5188,6225,896,511,1211,2396
CO,Teller,4552,4474,3946,3295,8796,9161,9428,10943,630,448,791,1428
CO,Washington,946,803,555,332,2267,2223,2191,2697,73,55,103,169
CO,Weld,48026,49049,47422,43747,61571,70979,68278,82437,12594,6494,18999,16701
CO,Yuma,1368,1263,912,617,3583,3620,3687,4565,128,114,177,287
CT,Fairfield,264871,220379,240762,215416,124495,177729,155547,201644,7046,7174,17597,36300
CT,Hartford,271993,244859,247377,237158,113571,146468,146940,171049,7058,6881,16965,37144
CT,Litchfield,49638,43343,43209,42617,41165,48075,47773,64354,3763,1993,4595,4141
CT,Middlesex,52091,48197,47264,47491,31533,35407,36196,48188,3562,1792,4434,4269
CT,New Haven,230122,218582,210381,213277,124014,140683,144099,172408,5776,3637,12065,29483
CT,New London,72946,67155,64389,67012,47908,48296,49879,62068,3298,2097,7967,22229
CT,Tolland,41997,25549,42238,52499,30494,22122,33032,51425,3571,1546,4527,3959
CT,Windham,28321,22915,23781,24278,21487,21620,25018,35973,2434,1160,3041,3364
DE,Kent,35343,33777,34008,32923,30107,33482,34609,46378,3514,1820,4631,5517
DE,New Castle,178649,164697,167175,162943,43826,79897,79334,206171,13930,7504,20479,16133
DE,Sussex,41288,40859,40427,38838,52403,57271,56568,67741,3331,1864,4231,4810
DC,District of Columbia,247799,269091,276823,285873,13809,19635,16293,21115,7552,8584,18740,41128
FL,Alachua,76842,71362,71837,78376,47886,50939,47947,46477,5930,3199,7751,7117
FL,Baker,2659,2560,2258,2086,9340,9474,9882,11072,124,102,180,306
FL,Bay,22515,22581,22404,22845,58704,61481,60080,64752,2604,1479,3056,3153
FL,Bradford,3677,3606,3191,2850,8581,8692,8771,9396,159,122,210,341
FL,Brevard,124190,123133,121763,121190,158729,164561,170158,171490,13135,6912,18920,14670
FL,Broward,509157,517823,547031,567706,219172,248015,255739,269052,7429,8023,18550,38933
FL,Calhoun,1781,1865,1487,1576,4729,4567,4567,4835,121,127,157,237
FL,Charlotte,38493,36305,35745,34579,49988,53078,53791,65826,1902,986,2472,3622
FL,Citrus,27953,27404,24801,19831,47889,48854,50134,57796,1694,959,1751,1398
FL,Clay,25693,25294,26608,30018,69006,76374,73159,78277,2824,1436,3424,3387
FL,Collier,57996,53959,56528,64024,89564,101922,101089,106284,3274,1674,3755,2724
FL,Columbia,8834,8812,8158,7231,19038,19687,20326,22837,465,309,536,839
FL,Desoto,4539,4426,4047,3684,6182,5969,6450,7584,163,135,215,346
FL,Dixie,2044,2052,1579,1287,5615,5301,5599,6169,111,69,101,100
FL,Duval,203952,197490,203893,201023,183809,212902,216181,229270,14245,7753,21498,17645
FL,Escambia,61890,59048,58159,59271,83861,91741,87943,94826,5854,3202,7122,5214
FL,Flagler,22789,22526,22236,21565,27399,28186,31178,41626,1033,521,1218,1661
FL,Franklin,2107,2048,1892,2219,4205,3847,4032,4406,99,73,121,177
FL,Gadsden,15546,16578,15743,15361,7023,6985,6817,6872,212,153,278,493
FL,Gilchrist,2146,2131,1718,1507,6246,6155,6405,7159,162,108,187,266
FL,Glades,1854,1837,1470,1337,2949,2591,2839,3363,63,44,72,100
FL,Gulf,2153,2202,1909,2119,5377,5299,5276,5652,140,125,200,338
FL,Hamilton,2595,2495,2138,1884,3582,3346,3370,3607,67,47,87,136
FL,Hardee,2822,2680,2347,2030,4875,4889,5115,6320,118,87,154,239
FL,Hendry,5119,4904,4728,4543,6020,5747,6094,6976,177,123,238,411
FL,Hernando,40013,37490,35406,31618,50228,49787,52448,64050,2116,1203,2255,1818
FL,Highlands,16770,16580,15937,14970,26785,27402,28583,34075,732,370,812,1008
FL,Hillsborough,274992,290621,299058,307234,216860,253701,262291,279775,16879,10224,26192,22393
FL,Holmes,1369,1467,1088,1194,7385,7305,7388,7832,129,108,156,223
FL,Indian River,28448,27247,28511,32018,43212,46273,45736,51207,1568,714,1776,1453
FL,Jackson,7500,7720,6968,6345,13829,14268,14350,15211,250,233,331,553
FL,Jefferson,4137,4182,3811,3822,4153,4000,3910,4037,106,73,137,211
FL,Lafayette,838,883,584,642,3080,2898,2805,2912,49,43,54,72
FL,Lake,64083,64055,62968,64317,87106,94950,94486,100711,4697,2208,7167,10541
FL,Lee,124506,110727,116578,117169,157350,161113,168720,171134,5314,2357,10173,21776
FL,Leon,90035,95724,93029,95114,55407,58429,55265,53890,6239,3102,8511,8422
FL,Levy,6507,6443,5712,4707,12428,12855,13373,15004,353,264,409,645
FL,Liberty,1074,1146,769,733,2736,2484,2478,2624,63,44,80,123
FL,Madison,4448,4465,3894,3366,4938,4748,4784,5098,101,76,113,152
FL,Manatee,70945,69492,68289,75025,82608,93164,92071,102712,5217,2802,6313,4753
FL,Marion,69637,67357,63933,64136,93318,100014,100377,104821,3873,2284,4291,2966
FL,Martin,32251,30131,31046,33372,47064,51389,50040,55773,1404,696,2124,5162
FL,Miami-Dade,549026,558865,609891,631266,345156,331717,324268,329791,8052,7545,18954,36115
FL,Monroe,20099,20372,19957,19933,19113,20550,21635,26972,1042,528,1173,1418
FL,Nassau,10657,10676,10805,11225,29866,30891,32469,38850,849,455,1226,2694
FL,Okaloosa,23948,23002,23727,25393,66180,75931,71924,77030,4633,2330,6065,6162
FL,Okeechobee,4973,5123,4470,4084,8290,7942,8830,10397,199,180,282,493
FL,Orange,293954,282845,296949,294810,169576,190861,195945,204677,16024,9183,24943,20653
